,Unnamed: 0.1,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
348,348,348,JeffMaehl,PHI,24,WR,16,9,4,44.4%,67,16.8,1,7.4,0.3,4.2,MaehJe00
349,349,349,EricPage,TAM,22,WR,16,9,4,44.4%,68,17.0,0,7.6,0.3,4.3,PageEr00
350,350,350,NilesPaul,WAS,24,WR,15,8,4,50.0%,51,12.8,0,6.4,0.3,3.4,PaulNi00
356,356,356,NickToon,NOR,25,WR,8,12,4,33.3%,68,17.0,0,5.7,0.5,8.5,ToonNi00
358,358,358,SeyiAjirotutu,LAC,26,WR,14,4,3,75.0%,64,21.3,1,16.0,0.2,4.6,AjirSe00
359,359,359,JonathanBaldwin,SFO,24,WR,7,9,3,33.3%,28,9.3,0,3.1,0.4,4.0,BaldJo00
364,364,364,JuronCriner,LVR,24,WR,1,8,3,37.5%,32,10.7,0,4.0,3.0,32.0,CrinJu00
369,369,369,JeremyEbert,JAX,24,WR,5,8,3,37.5%,18,6.0,0,2.3,0.6,3.6,EberJe00
370,370,370,QuintonPatton,SFO,23,WR,6,5,3,60.0%,34,11.3,0,6.8,0.5,5.7,PattQu00
374,374,374,NickWilliams,WAS,23,WR,5,11,3,27.3%,15,5.0,0,1.4,0.6,3.0,WillNi02
380,380,380,JoshCribbs,NYJ,30,WR,6,2,2,100.0%,6,3.0,0,3.0,0.3,1.0,CribJo01
381,381,381,SkyeDawson,TAM,23,WR,7,7,2,28.6%,12,6.0,0,1.7,0.3,1.7,DawsSk00
383,383,383,MarcusEasley,BUF,26,WR,16,5,2,40.0%,13,6.5,0,2.6,0.1,0.8,EaslMa00
388,388,388,ChadHall,KAN,27,WR,9,7,2,28.6%,20,10.0,0,2.9,0.2,2.2,HallCh00
394,394,394,DamarisJohnson,PHI,24,WR,13,3,2,66.7%,14,7.0,0,4.7,0.2,1.1,JohnDa04
398,398,398,DerekMoye,PIT,25,WR,7,6,2,33.3%,20,10.0,1,3.3,0.3,2.9,MoyeDe00
401,401,401,MichaelRobinson,SEA,30,WR,9,3,2,66.7%,27,13.5,0,9.0,0.2,3.0,RobiMi00
409,409,409,LamaarThomas,JAX,23,WR,2,3,2,66.7%,31,15.5,0,10.3,1.0,15.5,ThomLa02
410,410,410,BrianTyms,CLE,24,WR,7,5,2,40.0%,12,6.0,0,2.4,0.3,1.7,TymsBr00
412,412,412,MarquessWilson,CHI,21,WR,10,3,2,66.7%,13,6.5,0,4.3,0.2,1.3,WilsMa02
420,420,420,KevinCone,ATL,25,WR,16,1,1,100.0%,12,12.0,0,12.0,0.1,0.8,ConeKe00
426,426,426,ToriGurley,CLE,26,WR,3,3,1,33.3%,15,15.0,0,5.0,0.3,5.0,GurlTo00
427,427,427,PercyHarvin,SEA,25,WR,1,1,1,100.0%,17,17.0,0,17.0,1.0,17.0,HarvPe00
437,437,437,BenObomanu,NYJ,30,WR,3,1,1,100.0%,8,8.0,0,8.0,0.3,2.7,ObomBe00
438,438,438,KassimOsgood,SFO,33,WR,14,1,1,100.0%,17,17.0,0,17.0,0.1,1.2,OsgoKa00
441,441,441,DavidReed,IND,26,WR,7,3,1,33.3%,2,2.0,0,0.7,0.1,0.3,ReedDa00
443,443,443,DariusReynaud,2TM,29,WR,9,2,1,50.0%,4,4.0,0,2.0,0.1,0.4,ReynDa00
452,452,452,BrandonTate,CIN,26,WR,16,2,1,50.0%,6,6.0,0,3.0,0.1,0.4,TateBr00
455,455,455,EricWeems,CHI,28,WR,16,2,1,50.0%,8,8.0,0,4.0,0.1,0.5,WeemEr00
460,460,460,JoeAnderson,CHI,25,WR,6,1,0,0.0%,0,,0,0.0,0.0,0.0,AndeJo00
461,461,461,MichaelCampbell,NYJ,24,WR,4,2,0,0.0%,0,,0,0.0,0.0,0.0,CampMi01
466,466,466,GregJenkins,LVR,24,WR,6,1,0,0.0%,0,,0,0.0,0.0,0.0,JenkGr00
470,470,470,MarvinMcNutt,CAR,24,WR,1,1,0,0.0%,0,,0,0.0,0.0,0.0,McNuMa00
473,473,473,DenardRobinson,JAX,23,WR,16,1,0,0.0%,0,,0,0.0,0.0,0.0,RobiDe00
474,474,474,BrianRobiskie,ATL,26,WR,1,1,0,0.0%,0,,0,0.0,0.0,0.0,RobiBr00
477,477,477,RyanSpadola,2TM,22,WR,4,1,0,0.0%,0,,0,0.0,0.0,0.0,SpadRy00
478,478,478,JulianTalley,NYG,24,WR,2,2,0,0.0%,0,,0,0.0,0.0,0.0,TallJu00
483,483,483,StephenWilliams,2TM,27,WR,6,4,0,0.0%,0,,0,0.0,0.0,0.0,WillSt01
